;;;;;;;;;;;;;;;;
CODIGO;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
05-01-0020-42;05-022;ESCUINTLA;ESCUINTLA;LICEO INFANTIL LA CASA DE LOS POLLITOS ANEXO A CENTRO EDUC. CON COMPUTACION EL QUETZAL;3A CALLE 3-98 COLONIA EL QUETZAL ZONA 2;78881070;JUAN ALBERTO MACHUCA ALVAREZ;MARIANELA ECHEVERŔ TRIGUEROS;PARVULOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0022-42;;ESCUINTLA;ESCUINTLA;EPDP ANEXA A COLEGIO 'CENTRO EDUCATIVO ESPAяL';5A CALLE 2-51 ZONA 1, ESCUINTLA;78897037;;;PARVULOS;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0023-42;05-021;ESCUINTLA;ESCUINTLA;LICEO INGLES SANTA ANA CON COMPUTACION;5A. AVENIDA 3-59 ZONA 1;78894056;LUZ DEL ROSARIO RODRIGUEZ DE LEON;FLOR DE MAŔ CASTILLO CASTILLO;PARVULOS;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0024-42;05-021;ESCUINTLA;ESCUINTLA;CORPORACIӎ DEL LICEO EDUCATIVO TECNICO EVANGELICO SOCIEDAD ANӎIMA;1 AVE. 5-80 ZONA 4;78899679;LUZ DEL ROSARIO RODRIGUEZ DE LEON;ANGEL VICENTE BELTRN MART͎EZ;PARVULOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0026-42;05-021;ESCUINTLA;ESCUINTLA;COLEGIO SANTIAGO DE LOS CABALLEROS DE GUATEMALA;2A. AVENIDA 10-98 ZONA 1;78898751;LUZ DEL ROSARIO RODRIGUEZ DE LEON;SILVIA ELENA RUIZ THEISSEN;PARVULOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0027-42;05-025;ESCUINTLA;ESCUINTLA;EODP ANEXA A EORM;FINCA SAN LUIS BUENA VISTA;42189521;ALMA LIBERTAD PEREZ MARTINEZ;MӎICA ELVIRA ZULETA HERRERA;PARVULOS;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0029-43;05-025;ESCUINTLA;ESCUINTLA;ESCUELA OFICIAL RURAL MIXTA;COLONIA SANTA MARTA;30318661;ALMA LIBERTAD PEREZ MARTINEZ;JɓSICA ANDREA BARRERA JIMɎEZ;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0030-43;05-001;ESCUINTLA;ESCUINTLA;EORM;ALDEA FLORIDO ACEITUNO;58730831;MARIA DEL CARMEN SANDOVAL LOPEZ;EUGENIA LUCRECIA GONZLEZ NATARENO;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0031-43;05-025;ESCUINTLA;ESCUINTLA;EORM;ALDEA LAS CHAPERNAS;42973036;ALMA LIBERTAD PEREZ MARTINEZ;GAUDY ARIANA SAGASTUME ORTEGA;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0032-43;05-025;ESCUINTLA;ESCUINTLA;EORM LIC. MARIO MENDEZ MONTENEGRO;CALLE PRINCIPAL LOTE NO. 19 COLONIA EL CARMEN;42376672;ALMA LIBERTAD PEREZ MARTINEZ;LESTER EDUARDO CAAL LӐEZ;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0033-42;05-025;ESCUINTLA;ESCUINTLA;EODP ANEXA A EORM;LOTE N.30 SECTOR B COLONIA LA ESTANCIA;41903358;ALMA LIBERTAD PEREZ MARTINEZ;KARLA YARELIS CASTILLO VɌIZ;PARVULOS;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0033-43;05-025;ESCUINTLA;ESCUINTLA;EORM;LOTE NO.30 SECCIӎ B ALDEA LA ESTANCIA;47452413;ALMA LIBERTAD PEREZ MARTINEZ;MAŔ DOLORES QUEVEDO;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0035-43;05-025;ESCUINTLA;ESCUINTLA;EORM;2A. AVENIDA 3A. CALLE LOTE 218 AL 220 COLONIA MONTERREY;41086951;ALMA LIBERTAD PEREZ MARTINEZ;SANDRA JUDITH COLLADO SOLARES;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0036-43;05-025;ESCUINTLA;ESCUINTLA;ESCUELA OFICIAL RURAL MIXTA;FINCA SAN LUIS BUENA VISTA;42189521;ALMA LIBERTAD PEREZ MARTINEZ;MӎICA ELVIRA ZULETA HERRERA;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0037-43;05-001;ESCUINTLA;ESCUINTLA;EORM;LOTIFICACION SAN GABRIEL;45116699;MARIA DEL CARMEN SANDOVAL LOPEZ;FLORENCIA RODRIGUEZ RAMIREZ;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0038-43;05-001;ESCUINTLA;ESCUINTLA;ESCUELA OFICIAL RURAL MIXTA;ALDEA LOS OLIVOS;42181240;MARIA DEL CARMEN SANDOVAL LOPEZ;VILMA ARACELY SIERRA MUяZ;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0039-43;05-001;ESCUINTLA;ESCUINTLA;EORM AIDA MAŔ SANDOVAL ALARCӎ DE RIVERS;KM. 68.5 CARRETERA A TAXISCO LOTIFICACION SAN CARLOS II;30179126;MARIA DEL CARMEN SANDOVAL LOPEZ;OLGA ESPERANZA GONZLEZ GARĆ;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0040-43;05-001;ESCUINTLA;ESCUINTLA;EORM MANUEL MONZON MORALES;CANTON LOS VOLADORES;54037500;MARIA DEL CARMEN SANDOVAL LOPEZ;MAYRA JUDITH MORALES MORALES;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0041-43;05-001;ESCUINTLA;ESCUINTLA;ESCUELA OFICIAL RURAL MIXTA;ALDEA EL RODEO;47403136;MARIA DEL CARMEN SANDOVAL LOPEZ;CLEOTILDE MARLENE RODRIGUEZ ORELLANA;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0042-43;05-001;ESCUINTLA;ESCUINTLA;ESCUELA OFICIAL RURAL MIXTA;FINCA EL SALTO;59746783;MARIA DEL CARMEN SANDOVAL LOPEZ;CLANSSY SUYAPA CASTILLO;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0043-43;05-025;ESCUINTLA;ESCUINTLA;ESCUELA OFICIAL RURAL MIXTA;ALDEA VALLARTA;56493620;ALMA LIBERTAD PEREZ MARTINEZ;YESSENNIA CAROLINA QUIѓNEZ ARMAS;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0045-43;05-025;ESCUINTLA;ESCUINTLA;EORM LEON LIND PETTERSEN;ALDEA GUADALUPE;54256310;ALMA LIBERTAD PEREZ MARTINEZ;MADELIN ELIZABETH MORALES MANCILLA;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0046-43;05-025;ESCUINTLA;ESCUINTLA;EORM MARIA MARTA ESCOBAR COBOS DE RICHARSON;COLONIA PRADOS DEL RIO;78895683;ALMA LIBERTAD PEREZ MARTINEZ;JUANA DE JESUS BARRERA FLORIAN;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0047-43;05-001;ESCUINTLA;ESCUINTLA;EORM;COLONIA LOS PORTALES;51346606;MARIA DEL CARMEN SANDOVAL LOPEZ;MARIA ANGEL VALLADARES MENDOZA;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0048-43;05-022;ESCUINTLA;ESCUINTLA;COLEGIO UNIVERSITY KIDS;CANTON PUENTE DE PALO LOTE 34 EL CHUPADERO;78204390;JUAN ALBERTO MACHUCA ALVAREZ;MAYRON USIEL LOAIZA GARCIA;PRIMARIA;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
